,word,vec
57272,industry,
57273,art,
57274,industrial arts,
57275,craft,
57276,mystery,
57277,handicraft,
57278,trade,
57279,exercise,
57280,work,
57281,avocation,
57282,press of business,
57283,pass one's time in,
57284,employ one's time in,
57285,spend one's time in,
57286,employ oneself in,
57287,employ oneself upon,
57288,occupy oneself with,
57289,concern oneself with,
57290,make it one's business,
57291,undertake,
57292,enter a profession,
57293,betake oneself to,
57294,turn one's hand to,
57295,have to do with,
57296,office,
57297,place,
57298,post,
57299,chargeship,
57300,incumbency,
57301,living,
57302,situation,
57303,berth,
57304,employ,
57305,service,
57306,engagement,
57307,undertaking,
57308,drive a trade,
57309,carry on a trade,
57310,do a trade,
57311,transact a trade,
57312,carry on business,
57313,do business,
57314,transact business,
57315,keep a shop,
57316,ply one's task,
57317,ply one's trade,
57318,labor in one's vocation,
57319,pursue the even tenor of one's way,
57320,attend to business,
57321,attend to one's work,
57322,officiate,
57323,serve,
57324,act,
57325,act one's part,
57326,play one's part,
57327,do duty,
57328,serve the office of,
57329,discharge the office of,
57330,perform the office of,
57331,perform the duties of,
57332,perform the functions of,
57333,hold an office,
57334,fill an office,
57335,fill a place,
57336,fill a situation,
57337,hold a portfolio,
57338,hold a place,
57339,hold a situation,
57340,be about,
57341,be doing,
57342,be engaged in,
57343,be employed in,
57344,be occupied with,
57345,be at work on,
57346,have one's hands in,
57347,have in hand,
57348,have on one's hands,
57349,have on one's shoulders,
57350,bear the burden,
57351,have one's hands full,
57352,be in the hands of,
57353,be on the stocks,
57354,be on the anvil,
57355,pass through one's hands,
57356,businesslike,
57357,workaday,
57358,professional,
57359,official,
57360,functional,
57361,busy,
57362,on hand,
57363,in hand,
57364,in one's hands,
57365,afoot,
57366,on foot,
57367,on the anvil,
57368,going on,
57369,acting,
57370,in the course of business,
57371,all in one's day's work,
57372,professionally,
57373,a business with an income at its heels,
57374,amoto quaeramus seria ludo,
57375,par negotiis neque supra,
57376,plan,
57377,scheme,
57378,design,
57379,project,
57380,proposal,
57381,proposition,
57382,suggestion,
57383,resolution,
57384,motion,
57385,precaution,
57386,deep-laid plan,
57387,system,
57388,organization,
57389,germ,
57390,sketch,
57391,skeleton,
57392,outline,
57393,draught,
57394,draft,
57395,ebauche,
57396,brouillon,
57397,rough cast,
57398,rough draft,
57399,draught copy,
57400,copy,
57401,proof,
57402,revise,
57403,drawing,
57404,scheme,
57405,schematic,
57406,graphic,
57407,chart,
57408,flow chart,
57409,forecast,
57410,program,
57411,programme,
57412,prospectus,
57413,carte du pays,
57414,card,
57415,bill,
57416,protocol,
57417,order of the day,
57418,list of agenda,
57419,bill of fare,
57420,base of operations,
57421,platform,
57422,plank,
57423,slate,
57424,ticket,
57425,role,
57426,policy,
57427,contrivance,
57428,invention,
57429,expedient,
57430,receipt,
57431,nostrum,
57432,artifice,
57433,device,
57434,pipelaying,
57435,stratagem,
57436,trick,
57437,alternative,
57438,loophole,
57439,shift,
57440,last shift,
57441,measure,
57442,step,
57443,stroke,
57444,stroke of policy,
57445,master stroke,
57446,trump card,
57447,court card,
57448,cheval de bataille,
57449,great gun,
57450,coup,
57451,coup d'etat,
57452,clever stroke,
57453,bold stroke,
57454,good move,
57455,good hit,
57456,good stroke,
57457,bright thought,
57458,bright idea,
57459,intrigue,
57460,cabal,
57461,plot,
57462,conspiracy,
57463,complot,
57464,machination,
57465,subplot,
57466,underplot,
57467,counterplot,
57468,schemer,
57469,schemist,
57470,schematist,
57471,strategist,
57472,machinator,
57473,projector,
57474,artist,
57475,promoter,
57476,designer,
57477,conspirator,
57478,intrigant,
57479,plan,
57480,scheme,
57481,design,
57482,frame,
57483,contrive,
57484,project,
57485,forecast,
57486,sketch,
57487,devise,
57488,invent,
57489,set one's wits to work,
57490,spring a project,
57491,fall upon,
57492,hit upon,
57493,strike out,
57494,chalk out,
57495,cut out,
57496,lay out,
57497,map out,
57498,lay down a plan,
57499,shape out a course,
57500,mark out a course,
57501,predetermine,
57502,concert,
57503,preconcert,
57504,preestablish,
57505,prepare,
57506,hatch,
57507,hatch a plot concoct,
57508,take steps,
57509,take measures,
57510,cast,
57511,recast,
57512,systematize,
57513,organize,
57514,arrange,
57515,digest,
57516,mature,
57517,plot,
57518,counter-plot,
57519,counter-mine,
57520,dig a mine,
57521,lay a train,
57522,intrigue,
57523,planned,
57524,strategic,
57525,strategical,
57526,planning,
57527,prepared,
57528,in course of preparation,
57529,under consideration,
57530,on the tapis,
57531,on the carpet,
57532,on the floor,
57533,method,
57534,way,
57535,manner,
57536,wise,
57537,gait,
57538,form,
57539,mode,
57540,fashion,
57541,tone,
57542,guise,
57543,modus operandi,
57544,MO,
57545,procedure,
57546,path,
57547,road,
57548,route,
57549,course,
57550,line of way,
57551,line of road,
57552,trajectory,
57553,orbit,
57554,track,
57555,beat,
57556,tack,
57557,steps,
57558,stair,
57559,staircase,
57560,flight of stairs,
57561,ladder,
57562,stile,
57563,perron,
57564,bridge,
57565,footbridge,
57566,viaduct,
57567,pontoon,
57568,steppingstone,
57569,plank,
57570,gangway,
57571,drawbridge,
57572,pass,
57573,ford,
57574,ferry,
57575,tunnel,
57576,pipe,
57577,door,
57578,gateway,
57579,channel,
57580,passage,
57581,avenue,
57582,means of access,
57583,approach,
57584,adit,
57585,artery,
57586,lane,
57587,loan,
57588,alley,
57589,aisle,
57590,lobby,
57591,corridor,
57592,back-door,
57593,back-stairs,
57594,secret passage,
57595,covert way,
57596,vennel,
57597,roadway,
57598,pathway,
57599,stairway,
57600,express,
57601,thoroughfare,
57602,highway,
57603,turnpike,
57604,freeway,
57605,royal road,
57606,coach road,
57607,broad highway,
57608,King's highway,
57609,Queen's highway,
57610,beaten track,
57611,beaten path,
57612,horse road,
57613,bridle road,
57614,bridle track,
57615,bridle path,
57616,walk,
57617,trottoir,
57618,footpath,
57619,pavement,
57620,flags,
57621,sidewalk,
57622,crossroad,
57623,byroad,
57624,bypath,
57625,byway,
57626,cut,
57627,short cut,
57628,carrefour,
57629,private road,
57630,occupation road,
57631,highways and byways,
57632,railroad,
57633,railway,
57634,tram road,
57635,tramway,
57636,towpath,
57637,causeway,
57638,canal,
57639,street,
57640,speedway,
57641,how,
57642,in what way,
57643,in what manner,
57644,by what mode,
57645,so,
57646,in this way,
57647,after this fashion,
57648,one way or another,
57649,anyhow,
57650,somehow or other,
57651,by way of,
57652,via,
57653,in transitu,
57654,on the high road to,
57655,hae tibi erunt artes,
57656,middle course,
57657,midcourse,
57658,mean,
57659,middle,
57660,juste milieu,
57661,mezzo termine,
57662,golden mean,
57663,ariston metron,
57664,aurea mediocritas,
57665,straight,
57666,straight course,
57667,straight path,
57668,short cut,
57669,cross cut,
57670,great circle sailing,
57671,neutrality,
57672,half measure,
57673,half and half measures,
57674,compromise,
57675,keep in a middle course,
57676,preserve a middle course,
57677,preserve an even course,
57678,go straight,
57679,go halfway,
57680,compromise,
57681,make a compromise,
57682,straight,
57683,medium tenuere beati,
57684,circuit,
57685,roundabout way,
57686,digression,
57687,detour,
57688,circumbendibus,
57689,ambages,
57690,loop,
57691,winding,
57692,zigzag,
57693,perform a circuit,
57694,go round about,
57695,go out of one's way,
57696,make a detour,
57697,meander,
57698,lead a pretty dance,
57699,beat about the bush,
57700,make two bites of a cherry,
57701,circuitous,
57702,indirect,
57703,roundabout,
57704,zigzag,
57705,backhanded,
57706,by a side wind,
57707,by an indirect course,
57708,in a roundabout way,
57709,from pillar to post,
57710,requirement,
57711,need,
57712,wants,
57713,necessities,
57714,necessaries,
57715,necessaries of life,
57716,stress,
57717,exigency,
57718,pinch,
57719,sine qua non,
57720,matter of necessity,
57721,case of need,
57722,case of life or death,
57723,needfulness,
57724,essentiality,
57725,necessity,
57726,indispensability,
57727,urgency,
57728,requisition,
57729,run upon,
57730,demand,
57731,call for,
57732,charge,
57733,claim,
57734,command,
57735,injunction,
57736,mandate,
57737,order,
57738,precept,
57739,desideratum,
57740,want,
57741,require,
57742,need,
57743,want,
57744,have occasion for,
57745,not be able to do without,
57746,not be able to dispense with,
57747,prerequire,
57748,render necessary,
57749,necessitate,
57750,create a,
57751,necessity for,
57752,call for,
57753,put in requisition,
57754,make a requisition,
57755,stand in need of,
57756,lack,
57757,desiderate,
57758,desire,
57759,be necessary,
57760,required,
57761,requisite,
57762,needful,
57763,necessary,
57764,imperative,
57765,essential,
57766,indispensable,
57767,prerequisite,
57768,called for,
57769,in demand,
57770,in request,
57771,urgent,
57772,exigent,
57773,pressing,
57774,instant,
57775,crying,
57776,absorbing,
57777,in want of,
57778,destitute of,
57779,ex necessitate rei,
57780,of necessity,
57781,there is no time to lose,
57782,it cannot be spared,
57783,it cannot be dispensed with,
57784,mendacem memorem esse oportet,
57785,necessitas non habet legem,
57786,nec tecum possum trivere nec sine te,
57787,instrumentality,
57788,aid,
57789,subservience,
57790,subserviency,
57791,mediation,
57792,intervention,
57793,medium,
57794,intermedium,
57795,vehicle,
57796,hand,
57797,agency,
57798,minister,
57799,handmaid,
57800,midwife,
57801,accoucheur,
57802,accoucheuse,
57803,obstetrician,
57804,gobetween,
57805,cat's-paw,
57806,stepping-stone,
57807,opener,
57808,key,
57809,master key,
57810,passkey,
57811,latchkey,
57812,open sesame,
57813,passport,
57814,passe-partout,
57815,safe-conduct,
57816,password,
57817,instrument,
57818,expedient,
57819,means,
57820,subserve,
57821,minister,
57822,mediate,
57823,intervene,
57824,be instrumental,
57825,pander to,
57826,officiate,
57827,tend,
57828,instrumental,
57829,useful,
57830,ministerial,
57831,subservient,
57832,mediatorial,
57833,intermediate,
57834,intervening,
57835,conducive,
57836,through,
57837,by,
57838,per,
57839,whereby,
57840,thereby,
57841,hereby,
57842,by the agency of,
57843,by dint of,
57844,by virtue of,
57845,in virtue of,
57846,through the medium of,
57847,along with,
57848,on the shoulders of,
57849,by means of,
57850,by the aid of,
57851,with the aid of,
57852,per fas et nefas,
57853,by fair means or foul,
57854,somehow,
57855,somehow or other,
57856,by hook or by crook,
57857,means,
57858,resources,
57859,wherewithal,
57860,ways and means,
57861,capital,
57862,revenue,
57863,stock in trade,
57864,provision,
57865,a shot in the locker,
57866,appliances,
57867,means and appliances,
57868,conveniences,
57869,cards to play,
57870,expedients,
57871,two strings to one's bow,
57872,sheet anchor,
57873,aid,
57874,medium,
57875,find means,
57876,have means,
57877,possess means,
57878,instrumental,
57879,mechanical,
57880,by means of,
57881,with,
57882,by what means,
57883,by all means,
57884,by any means,
57885,by some means,
57886,wherewith,
57887,herewith,
57888,therewith,
57889,wherewithal,
57890,how,
57891,through,
57892,with the aid of,
57893,by the aid of,
57894,by the agency of,
57895,machinery,
57896,mechanism,
57897,engineering,
57898,instrument,
57899,organ,
57900,tool,
57901,implement,
57902,utensil,
57903,machine,
57904,engine,
57905,lathe,
57906,gin,
57907,mill,
57908,air engine,
57909,caloric engine,
57910,heat engine,
57911,gear,
57912,tackle,
57913,tackling,
57914,rig,
57915,rigging,
57916,apparatus,
57917,appliances,
57918,plant,
57919,materiel,
57920,harness,
57921,trappings,
57922,fittings,
57923,accouterments,
57924,barde,
57925,equipment,
57926,equipmentage,
57927,appointments,
57928,furniture,
57929,upholstery,
57930,chattels,
57931,paraphernalia,
57932,mechanical powers,
57933,lever,
57934,leverage,
57935,mechanical advantage,
57936,crow,
57937,crowbar,
57938,handspike,
57939,gavelock,
57940,jemmy,
57941,jimmy,
57942,arm,
57943,limb,
57944,wing,
57945,oar,
57946,paddle,
57947,pulley,
57948,wheel and axle,
57949,wheelwork,
57950,clockwork,
57951,wheels within wheels,
57952,pinion,
57953,crank,
57954,winch,
57955,cam,
57956,pedal,
57957,capstan,
57958,wheel,
57959,inclined plane,
57960,wedge,
57961,screw,
57962,spring,
57963,mainspring,
57964,can hook,
57965,glut,
57966,heald,
57967,heddle,
57968,jenny,
57969,parbuckle,
57970,sprag,
57971,water wheel,
57972,handle,
57973,hilt,
57974,haft,
57975,shaft,
57976,heft,
57977,shank,
57978,blade,
57979,trigger,
57980,tiller,
57981,helm,
57982,treadle,
57983,key,
57984,turnscrew,
57985,screwdriver,
57986,knocker,
57987,hammer,
57988,edge tool,
57989,borer,
57990,vice,
57991,teeth,
57992,nail,
57993,rope,
57994,peg,
57995,support,
57996,spoon,
57997,arms,
57998,oar,
57999,cardiograph,
58000,recapper,
58001,snowplow,
58002,tenpenny,
58003,votograph,
58004,instrumental,
58005,mechanical,
58006,machinal,
58007,brachial,
58008,substitute,
58009,deputy,
58010,badli,
58011,material,
58012,raw material,
58013,stuff,
58014,stock,
58015,staple,
58016,adobe,
58017,brown stone,
58018,chinking,
58019,clapboard,
58020,daubing,
58021,puncheon,
58022,shake,
58023,shingle,
58024,bricks and mortar,
58025,metal,
58026,stone,
58027,clay,
58028,brick crockery,
58029,compo,
58030,composition,
58031,concrete,
58032,reinforced concrete,
58033,cement,
58034,wood,
58035,ore,
58036,timber,
58037,materials,
58038,supplies,
58039,munition,
58040,fuel,
58041,grist,
58042,household stuff pabulum,
58043,ammunition,
58044,contingents,
58045,relay,
58046,reinforcement,
58047,reenforcement,
58048,baggage,
58049,means,
58050,calico,
58051,cambric,
58052,cashmere,
58053,raw,
58054,wooden,
58055,adobe,
58056,stock,
58057,fund,
58058,mine,
58059,vein,
58060,lode,
58061,quarry,
58062,spring,
58063,fount,
58064,fountain,
58065,well,
58066,wellspring,
58067,milch cow,
58068,stock in trade,
58069,supply,
58070,heap,
58071,treasure,
58072,reserve,
58073,corps de reserve,
58074,reserved fund,
58075,nest egg,
58076,savings,
58077,bonne bouche,
58078,crop,
58079,harvest,
58080,mow,
58081,vintage,
58082,store,
58083,accumulation,
58084,hoard,
58085,rick,
58086,stack,
58087,lumber,
58088,relay,
58089,storehouse,
58090,storeroom,
58091,storecloset,
58092,depository,
58093,depot,
58094,cache,
58095,repository,
58096,reservatory,
58097,repertory,
58098,repertorium,
58099,promptuary,
58100,warehouse,
58101,entrepot,
58102,magazine,
58103,buttery,
58104,larder,
58105,spence,
58106,garner,
58107,granary,
58108,cannery,
58109,safe-deposit vault,
58110,stillroom,
58111,thesaurus,
58112,bank,
58113,armory,
58114,arsenal,
58115,dock,
58116,gallery,
58117,museum,
58118,conservatory,
58119,menagery,
58120,menagerie,
58121,reservoir,
58122,cistern,
58123,aljibar,
58124,tank,
58125,pond,
58126,mill pond,
58127,gasometer,
58128,budget,
58129,quiver,
58130,bandolier,
58131,portfolio,
58132,coffer,
58133,conservation,
58134,storing,
58135,storage,
58136,store,
58137,put by,
58138,lay by,
58139,set by,
58140,stow away,
58141,set apart,
58142,lay apart,
58143,store treasure,
58144,hoard treasure,
58145,lay up,
58146,heap up,
58147,put up,
58148,garner up,
58149,save up,
58150,bank,
58151,cache,
58152,accumulate,
58153,amass,
58154,hoard,
58155,fund,
58156,garner,
58157,save,
58158,reserve,
58159,keep back,
58160,hold back,
58161,husband,
58162,husband one's resources,
58163,deposit,
58164,stow,
58165,stack,
58166,load,
58167,harvest,
58168,heap,
58169,collect,
58170,lay in store,
58171,keep,
58172,file,
58173,lay in,
58174,preserve,
58175,stored,
58176,in store,
58177,in reserve,
58178,in ordinary,
58179,spare,
58180,supernumerary,
58181,adde parvum parvo magnus acervus erit,
58182,provision,
58183,supply,
58184,grist,
58185,grist for the mill,
58186,subvention,
58187,resources,
58188,groceries,
58189,grocery,
58190,providing,
58191,purveyance,
58192,reinforcement,
58193,reenforcement,
58194,commissariat,
58195,provender,
58196,ensilage,
58197,viaticum,
58198,caterer,
58199,purveyor,
58200,commissary,
58201,quartermaster,
58202,manciple,
58203,feeder,
58204,batman,
58205,victualer,
58206,grocer,
58207,comprador,
58208,restaurateur,
58209,jackal,
58210,pelican,
58211,sutler,
58212,grocery shop,
58213,grocery store,
58214,provide,
58215,make provision,
58216,make due provision for,
58217,lay in,
58218,lay in a stock,
58219,lay in a store,
58220,supply,
58221,suppeditate,
58222,furnish,
58223,find,
58224,find one in,
58225,arm,
58226,cater,
58227,victual,
58228,provision,
58229,purvey,
58230,forage,
58231,beat up for,
58232,stock,
58233,stock with,
58234,make good,
58235,replenish,
58236,fill,
58237,fill up,
58238,recruit,
58239,feed,
58240,have in store,
58241,have in reserve,
58242,keep,
58243,keep by one,
58244,keep on foot,
58245,keep on hand,
58246,have to fall back upon,
58247,store,
58248,provide against a rainy day,
58249,consumption,
58250,expenditure,
58251,exhaustion,
58252,dispersion,
58253,ebb,
58254,leakage,
58255,loss,
58256,wear and tear,
58257,waste,
58258,prodigality,
58259,misuse,
58260,wasting,
58261,rubbish,
58262,mountain in labor,
58263,spend,
58264,expend,
58265,use,
58266,consume,
58267,swallow up,
58268,exhaust,
58269,impoverish,
58270,spill,
58271,drain,
58272,empty,
58273,disperse,
58274,cast away,
58275,fool away,
58276,muddle away,
58277,throw away,
58278,fling away,
58279,fritter away,
58280,burn the candle at both ends,
58281,waste,
58282,squander,
58283,waste its sweetness on the desert air,
58284,cast one's bread upon the waters,
58285,cast pearls before swine,
58286,employ a steam engine to crack a nut,
58287,waste powder and shot,
58288,break a butterfly on a wheel,
58289,labor in vain,
58290,cut blocks with a razor,
58291,pour water into a sieve,
58292,leak,
58293,run to waste,
58294,ebb,
58295,melt away,
58296,run dry,
58297,dry up,
58298,wasted,
58299,at a low ebb,
58300,wasteful,
58301,penny wise and pound foolish,
58302,magno conatu magnas nugas,
58303,le jeu ne vaut pas la chandelle,
58304,idly busy rolls their world away,
58305,sufficiency,
58306,adequacy,
58307,enough,
58308,withal,
58309,satisfaction,
58310,competence,
58311,no less,
58312,quantum sufficit,
58313,Q.S,
58314,mediocrity,
58315,fill,
58316,fullness,
58317,plenitude,
58318,plenty,
58319,abundance,
58320,copiousness,
58321,amplitude,
58322,galore,
58323,lots,
58324,profusion,
58325,full measure,
58326,"good measure pressed down and running, over",
58327,luxuriance,
58328,affluence,
58329,fat of the land,
58330,a land flowing with milk and honey,
58331,cornucopia,
58332,horn of plenty,
58333,horn of Amalthaea,
58334,mine,
58335,outpouring,
58336,flood,
58337,tide,
58338,repletion,
58339,satiety,
58340,be sufficient,
58341,suffice,
58342,do,
58343,just do,
58344,satisfy,
58345,pass muster,
58346,have enough,
58347,eat,
58348,one's fill,
58349,drink one's fill,
58350,have one's fill,
58351,roll in,
58352,swim in,
58353,wallow in,
58354,wanton,
58355,abound,
58356,exuberate,
58357,teem,
58358,flow,
58359,stream,
58360,rain,
58361,shower down,
58362,pour,
58363,pour in,
58364,swarm,
58365,bristle with,
58366,superabound,
58367,render sufficient,
58368,replenish,
58369,sufficient,
58370,enough,
58371,adequate,
58372,up to the mark,
58373,commensurate,
58374,competent,
58375,satisfactory,
58376,valid,
58377,tangible,
58378,measured,
58379,moderate,
58380,full,
58381,ample,
58382,plenty,
58383,plentiful,
58384,plenteous,
58385,plenty as blackberries,
58386,copious,
58387,abundant,
58388,abounding,
58389,replete,
58390,enough and to spare,
58391,flush,
58392,choke-full,
58393,chock-full,
58394,well-stocked,
58395,well-provided,
58396,liberal,
58397,unstinted,
58398,unstinting,
58399,stintless,
58400,without stint,
58401,unsparing,
58402,unmeasured,
58403,lavish,
58404,wholesale,
58405,rich,
58406,luxuriant,
58407,affluent,
58408,wantless,
58409,big with,
58410,unexhausted,
58411,unwasted,
58412,exhaustless,
58413,inexhaustible,
58414,sufficiently,
58415,amply,
58416,full,
58417,in abundance,
58418,with no sparing hand,
58419,to one's heart's content,
58420,ad libitum,
58421,without stint,
58422,cut and come again,
58423,das Beste ist gut genug,
58424,insufficiency,
58425,inadequacy,
58426,inadequateness,
58427,incompetence,
58428,deficiency,
58429,imperfection,
58430,shortcoming,
58431,paucity,
58432,stint,
58433,scantiness,
58434,none to spare,
58435,bare subsistence,
58436,scarcity,
58437,dearth,
58438,want,
58439,need,
58440,lack,
58441,poverty,
58442,exigency,
58443,inanition,
58444,starvation,
58445,famine,
58446,drought,
58447,dole,
58448,mite,
58449,pittance,
58450,short allowance,
58451,short commons,
58452,half rations,
58453,banyan day,
58454,emptiness,
58455,poorness,
58456,depletion,
58457,vacancy,
58458,flaccidity,
58459,ebb tide,
58460,low water,
58461,a beggarly account of empty boxes,
58462,indigence,
58463,insolvency,
58464,be insufficient,
58465,not suffice,
58466,come short of,
58467,run dry,
58468,want,
58469,lack,
58470,need,
58471,require,
58472,caret,
58473,be in want,
58474,live from hand to mouth,
58475,render insufficient,
58476,drain of resources,
58477,impoverish,
58478,stint,
58479,put on short allowance,
58480,do insufficiently,
58481,scotch the snake,
58482,insufficient,
58483,inadequate,
58484,too little,
58485,not enough,
58486,unequal to,
58487,incompetent,
58488,weighed in the balance and found wanting,
58489,perfunctory,
58490,deficient,
58491,wanting,
58492,imperfect,
58493,ill-furnished,
58494,ill-provided,
58495,ill-stored,
58496,ill-off,
58497,slack,
58498,at a low ebb,
58499,empty,
58500,vacant,
58501,bare,
58502,short of,
58503,out of,
58504,destitute of,
58505,devoid of,
58506,bereft of,
58507,denuded of,
58508,dry,
58509,drained,
58510,unprovided,
58511,unsupplied,
58512,unfurnished,
58513,unreplenished,
58514,unfed,
58515,unstored,
58516,untreasured,
58517,empty-handed,
58518,meager,
58519,poor,
58520,thin,
58521,scrimp,
58522,sparing,
58523,spare,
58524,stinted,
58525,starved,
58526,starving,
58527,halfstarved,
58528,famine-stricken,
58529,famished,
58530,jejune,
58531,scant,
58532,scarce,
58533,not to be had,
58534,not to be had for love or money,
58535,not to be had at any price,
58536,scurvy,
58537,stingy,
58538,at the end of one's tether,
58539,without resources,
58540,in want,
58541,in debt,
58542,insufficiently,
58543,in default of,
58544,for want of,
58545,failing,
58546,semper avarus eget,
58547,redundancy,
58548,redundance,
58549,too much,
58550,too many,
58551,superabundance,
58552,superfluity,
58553,superfluence,
58554,saturation,
58555,nimiety,
58556,transcendency,
58557,exuberance,
58558,profuseness,
58559,profusion,
58560,repletion,
58561,enough in all conscience,
58562,satis superque,
58563,lion's share,
58564,more than enough,
58565,plethora,
58566,engorgement,
58567,congestion,
58568,load,
58569,surfeit,
58570,sickener,
58571,turgescence,
58572,overdose,
58573,overmeasure,
58574,oversupply,
58575,overflow,
58576,inundation,
58577,avalanche,
58578,accumulation,
58579,heap,
58580,drug,
58581,drug in the market,
58582,glut,
58583,crowd,
58584,burden,
58585,excess,
58586,surplus,
58587,overplus,
58588,epact,
58589,margin,
58590,remainder,
58591,duplicate,
58592,surplusage,
58593,expletive,
58594,work of supererogation,
58595,bonus,
58596,bonanza,
58597,luxury,
58598,intemperance,
58599,extravagance,
58600,exorbitance,
58601,lavishment,
58602,pleonasm,
58603,too many irons in the fire,
58604,embarras de richesses,
58605,superabound,
58606,overabound,
58607,know no bounds,
58608,swarm,
58609,meet one at every turn,
58610,creep with,
58611,crawl with,
58612,bristle with,
58613,overflow,
58614,run over,
58615,flow over,
58616,well over,
58617,brim over,
58618,run riot,
58619,overrun,
58620,overstock,
58621,overlay,
58622,overcharge,
58623,overdose,
58624,overfeed,
58625,overburden,
58626,overload,
58627,overdo,
58628,overwhelm,
58629,overshoot the mark,
58630,surcharge,
58631,supersaturate,
58632,gorge,
58633,glut,
58634,load,
58635,drench,
58636,whelm,
58637,inundate,
58638,deluge,
58639,flood,
58640,drug,
58641,drug the market,
58642,hepatize,
58643,choke,
58644,cloy,
58645,accloy,
58646,suffocate,
58647,pile up,
58648,lay on thick,
58649,impregnate with,
58650,lavish,
58651,send coals to Newcastle,
58652,carry coals to Newcastle,
58653,carry owls to Athens,
58654,teach one's grandmother to suck eggs,
58655,pisces natare docere,
58656,kill the slain,
58657,gild refined gold,
58658,gild the lily,
58659,butter one's bread on both sides,
58660,put butter upon bacon,
58661,employ a steam engine to crack a nut,
58662,exaggerate,
58663,wallow in,
58664,roll in,
58665,remain on one's hands,
58666,hang heavy on hand,
58667,go a begging,
58668,redundant,
58669,too much,
58670,too many,
58671,exuberant,
58672,inordinate,
58673,superabundant,
58674,excessive,
58675,overmuch,
58676,replete,
58677,profuse,
58678,lavish,
58679,prodigal,
58680,exorbitant,
58681,overweening,
58682,extravagant,
58683,overcharged,
58684,supersaturated,
58685,drenched,
58686,overflowing,
58687,running over,
58688,running to waste,
58689,running down,
58690,crammed to overflowing,
58691,filled to overflowing,
58692,gorged,
58693,ready to burst,
58694,dropsical,
58695,turgid,
58696,plethoric,
58697,obese,
58698,superfluous,
58699,unnecessary,
58700,needless,
58701,supervacaneous,
58702,uncalled for,
58703,to spare,
58704,in excess,
58705,over and above,
58706,de trop,
58707,adscititious,
58708,supernumerary,
58709,on one's hands,
58710,spare,
58711,duplicate,
58712,supererogatory,
58713,expletive,
58714,un peu fort,
58715,over,
58716,too,
58717,over and above,
58718,overmuch,
58719,too much,
58720,too far,
58721,without measure,
58722,beyond measure,
58723,out of measure,
58724,with a to spare,
58725,over head and ears,
58726,up to one's eyes,
58727,up to one's ears,
58728,extra,
58729,beyond the mark,
58730,acervatim,
58731,it never rains but it pours,
58732,fortuna multis dat nimium nulli satis,
58733,importance,
58734,consequence,
58735,moment,
58736,prominence,
58737,consideration,
58738,mark,
58739,materialness,
58740,import,
58741,significance,
58742,concern,
58743,emphasis,
58744,interest,
58745,greatness,
58746,superiority,
58747,notability,
58748,weight,
58749,value,
58750,usefulness,
58751,gravity,
58752,seriousness,
58753,solemnity,
58754,no joke,
58755,no laughing matter,
58756,pressure,
58757,urgency,
58758,stress,
58759,matter of life and death,
58760,memorabilia,
58761,notabilia,
58762,great doings,
58763,red-letter day,
58764,great thing,
58765,great point,
58766,main chance,
58767,the be all and the end all,
58768,cardinal point,
58769,substance,
58770,gist,
58771,sum and substance,
58772,gravamen,
58773,head and front,
58774,important part,
58775,principal part,
58776,prominent part,
58777,essential part,
58778,half the battle,
58779,sine qua non,
58780,breath of one's nostrils,
58781,cream,
58782,salt,
58783,core,
58784,kernel,
58785,heart,
58786,nucleus,
58787,keynote,
58788,keystone,
58789,corner stone,
58790,trump card,
58791,salient points,
58792,top sawyer,
58793,first fiddle,
58794,prima donna,
58795,chief,
58796,triton among the minnows,
58797,'it',
58798,be important,
58799,be somebody,
58800,be something,
58801,import,
58802,signify,
58803,matter,
58804,boot,
58805,be an object,
58806,carry weight,
58807,make a figure,
58808,be in the ascendant,
58809,come to the front,
58810,lead the way,
58811,take the lead,
58812,play first fiddle,
58813,throw all else into the shade,
58814,lie at the root of,
58815,deserve notice,
58816,merit notice,
58817,be worthy of notice,
58818,be worthy of regard,
58819,be worthy of consideration,
58820,attach importance to,
58821,ascribe importance to,
58822,give importance to,
58823,value,
58824,care for,
58825,set store upon,
58826,set store by,
58827,mark,
58828,mark with a white stone,
58829,underline,
58830,write in italics,
58831,put in italics,
58832,print in italics,
58833,print in capitals,
58834,print in large letters,
58835,put in large type,
58836,put in letters,
58837,of gold,
58838,accentuate,
58839,emphasize,
58840,lay stress on,
58841,make a fuss about,
58842,make a fuss over,
58843,make a stir about,
58844,make a piece of work about,
58845,make much ado about,
58846,make much ado of,
58847,make much of,
58848,important,
58849,of importance,
58850,momentous,
58851,material,
58852,to the point,
58853,not to be overlooked,
58854,not to be despised,
58855,not to be sneezed at,
58856,egregious,
58857,weighty,
58858,of note,
58859,notable,
58860,prominent,
58861,salient,
58862,signal,
58863,memorable,
58864,remarkable,
58865,unforgettable,
58866,worthy of remark,
58867,worthy of notice,
58868,never to be forgotten,
58869,stirring,
58870,eventful,
58871,grave,
58872,serious,
58873,earnest,
58874,noble,
58875,grand,
58876,solemn,
58877,impressive,
58878,commanding,
58879,imposing,
58880,urgent,
58881,pressing,
58882,critical,
58883,instant,
58884,paramount,
58885,essential,
58886,vital,
58887,all-absorbing,
58888,radical,
58889,cardinal,
58890,chief,
58891,main,
58892,prime,
58893,primary,
58894,principal,
58895,leading,
58896,capital,
58897,foremost,
58898,overruling,
58899,of vital importance,
58900,in the front rank,
